celda,origen,plano,bin,ancla,n_semillas,frac_lcc_inicial,media_nulo_uniforme,desvio_nulo_uniforme,z,p_empirico
disease_a_gene,Disease,gene,medio,C0018984,9,0.1111111111111111,0.11477777777777781,0.019848500269868324,-0.18473268089846628,1.0
disease_a_gene,Disease,gene,medio,C0023281,9,0.1111111111111111,0.11511111111111114,0.02185925800419189,-0.1829888278565065,1.0
disease_a_gene,Disease,gene,medio,C0428977,19,0.10526315789473684,0.06289473684210524,0.0220157963939242,1.9244555270471253,0.187
disease_a_gene,Disease,gene,medio,C0085129,10,0.1,0.10640000000000002,0.024475293665245368,-0.2614881801842461,1.0
disease_a_gene,Disease,gene,medio,C3502809,8,0.125,0.12925,0.02265364209128413,-0.18760780199821242,1.0
disease_a_gene,Disease,gene,medio,C0472383,8,0.25,0.12775,0.018335416548308905,6.667424199385056,0.022
disease_a_gene,Disease,gene,medio,C0855095,8,0.25,0.129375,0.023642850399222173,5.101965201453394,0.034
disease_a_gene,Disease,gene,medio,C0042900,16,0.125,0.069625,0.02156059774217774,2.5683425228825225,0.106
disease_a_gene,Disease,gene,medio,C0279607,8,0.625,0.12825,0.020662465970933866,24.041176919482123,0.0
disease_a_gene,Disease,gene,medio,C0012236,14,0.07142857142857142,0.07857142857142856,0.022812456318101873,-0.31311214554257427,1.0
disease_a_gene,Disease,gene,medio,C2931150,15,0.13333333333333333,0.07506666666666666,0.025132891242796208,2.3183431664817924,0.116
disease_a_gene,Disease,gene,medio,C0369183,12,0.16666666666666666,0.08916666666666666,0.022836982676741203,3.393618198035044,0.065
disease_a_gene,Disease,gene,medio,C0007787,10,0.1,0.10560000000000003,0.02299217258111987,-0.24356115022372823,1.0
disease_a_gene,Disease,gene,medio,C0018784,19,0.10526315789473684,0.061999999999999986,0.022349279735802256,1.9357741460200961,0.164
disease_a_gene,Disease,gene,medio,C0454655,10,0.2,0.10560000000000003,0.023846173697262215,3.958706381931541,0.054
disease_a_gene,Disease,gene,medio,C2350873,9,0.1111111111111111,0.11511111111111114,0.02069889959501336,-0.1932469879202508,1.0
disease_a_gene,Disease,gene,medio,C0004936,11,0.09090909090909091,0.09645454545454545,0.023580177976182237,-0.2351744143346103,1.0
disease_a_gene,Disease,gene,medio,C0235974,18,0.5555555555555556,0.06500000000000002,0.022298480267099418,21.999506229998648,0.0
disease_a_gene,Disease,gene,medio,C0268731,19,0.10526315789473684,0.06194736842105262,0.021933606691401094,1.9748594056200455,0.166
disease_a_gene,Disease,gene,medio,C0042109,14,0.07142857142857142,0.07785714285714283,0.02068964051137177,-0.31071450589187544,1.0
disease_a_gene,Disease,gene,alto,C1257931,449,0.6859688195991092,0.1023162583518931,0.05202352249343118,11.219012732575187,0.0
disease_a_gene,Disease,gene,alto,C0025958,60,0.08333333333333333,0.03658333333333333,0.015590016392265631,2.998713973334445,0.027
disease_a_gene,Disease,gene,alto,C0001973,213,0.24413145539906103,0.04055399061032864,0.02435482198950533,8.358815551041818,0.0
disease_a_gene,Disease,gene,alto,C0024306,21,0.047619047619047616,0.05838095238095239,0.02176581188224836,-0.49444076885925425,1.0
disease_a_gene,Disease,gene,alto,C4721806,25,0.24,0.05176000000000001,0.021149524817357008,8.900436375077092,0.0
disease_a_gene,Disease,gene,alto,C0334580,25,0.56,0.0538,0.023185340195908278,21.832761379508838,0.0
disease_a_gene,Disease,gene,alto,C0751217,29,0.13793103448275862,0.04820689655172414,0.019976085583611154,4.491577569363552,0.004
disease_a_gene,Disease,gene,alto,C0023493,31,0.12903225806451613,0.046483870967741925,0.02015855465310927,4.094955641278671,0.01
disease_a_gene,Disease,gene,alto,C0524611,22,0.13636363636363635,0.05604545454545453,0.02135449514294162,3.761183829472535,0.019
disease_a_gene,Disease,gene,alto,C0234238,41,0.04878048780487805,0.04231707317073172,0.018651361604679343,0.34653848717000696,0.594
disease_a_gene,Disease,gene,alto,C0266487,20,0.15,0.06140000000000001,0.02377057003944163,3.7272980771175988,0.017
disease_a_gene,Disease,gene,alto,C3887506,29,0.13793103448275862,0.047758620689655175,0.020247429043647163,4.4535241288521,0.004
disease_a_gene,Disease,gene,alto,C0993582,36,0.1388888888888889,0.044666666666666674,0.018640855170337048,5.0546083514535765,0.004
disease_a_gene,Disease,gene,alto,C0235032,25,0.2,0.05256,0.02106766242372419,6.9984033840398245,0.0
disease_a_gene,Disease,gene,alto,C0345905,23,0.43478260869565216,0.054999999999999986,0.02115631801756845,17.9512620475962,0.0
disease_a_gene,Disease,gene,alto,C0751496,96,0.041666666666666664,0.03185416666666666,0.015283191906833832,0.6420451997080775,0.251
disease_a_gene,Disease,gene,alto,C0205648,30,0.3,0.047,0.020327868117985766,12.44596819162506,0.0
disease_a_gene,Disease,gene,alto,C0600520,21,0.2857142857142857,0.05823809523809525,0.021887726294850193,10.392865271241613,0.0
disease_a_gene,Disease,gene,alto,C0086189,51,0.1568627450980392,0.03833333333333333,0.01650993200080728,7.179279221677606,0.001
disease_a_gene,Disease,gene,alto,C0205734,38,0.05263157894736842,0.042552631578947356,0.017815439629621153,0.5657422762480205,0.522
disease_a_gene,Disease,gene,alto,C0476089,67,0.5074626865671642,0.03479104477611939,0.014980785198058464,31.55186030250964,0.0
disease_a_gene,Disease,gene,alto,C0014518,29,0.6551724137931034,0.047724137931034485,0.019400773486915577,31.310518432254725,0.0
disease_a_gene,Disease,gene,alto,C0019693,100,0.4,0.03248,0.01616321750147538,22.738047048271966,0.0
disease_a_gene,Disease,gene,alto,C0017658,29,0.06896551724137931,0.048379310344827585,0.02104835608065339,0.978043454684499,0.352
disease_a_gene,Disease,gene,alto,C0860207,256,0.375,0.04725390625,0.029168884745225918,11.236154436917316,0.0
disease_a_gene,Disease,gene,alto,C0349204,60,0.03333333333333333,0.035666666666666666,0.015260697523012796,-0.15289820991568162,0.819
disease_a_gene,Disease,gene,alto,C0022660,78,0.2692307692307692,0.03324358974358975,0.014489737691081384,16.286504595071623,0.0
disease_a_gene,Disease,gene,alto,C1850597,33,0.7272727272727273,0.04503030303030302,0.018773308132965807,36.34108700556675,0.0
disease_a_gene,Disease,gene,alto,C0038433,100,0.38,0.032150000000000005,0.01564217056549378,22.23796234311292,0.0
disease_a_gene,Disease,gene,alto,C3714758,110,0.16363636363636364,0.0322,0.01581984317294356,8.308322794321835,0.0
disease_a_gene,Disease,gene,alto,C0011574,20,0.15,0.0604,0.022843817544359785,3.922286624204041,0.02
