id_a,id_b,nombre_a,nombre_b,grado_a,grado_b,n_senales,nombre,sinonimo,referencia,externo,vecindario,jaccard,detalle_nombre,detalle_sinonimo,detalle_referencia,detalle_externo,detalle_vecindario,detalle_jaccard,alguno_es_cascara,de_identidad
CHEMBL4297457,CHEMBL4301600,BMS-823778,BMS-823778,5,5,2,True,True,False,False,False,False,bms 823778,BMS-823778,,,,,False,True
CHEMBL4297472,CHEMBL4301787,NOX-100,NOX-100,2,2,2,True,True,False,False,False,False,nox 100,NOX-100,,,,,False,True
CHEMBL4297549,DRUGBANK:DB06404,HUMAN C1-ESTERASE INHIBITOR,Human C1-esterase inhibitor,6,36,2,True,True,False,False,False,False,human c1 esterase inhibitor,Human C1-esterase inhibitor,,,,,True,True
CHEMBL4297551,DRUGBANK:DB15270,EFGARTIGIMOD ALFA,Efgartigimod alfa,12,1,2,True,True,False,False,False,False,efgartigimod alfa,Efgartigimod alfa,,,,,True,True
CHEMBL4297553,DRUGBANK:DB15336,VALANAFUSP ALFA,Valanafusp alfa,1,333,2,True,True,False,False,False,False,valanafusp alfa,Valanafusp alfa,,,,,True,True
CHEMBL4297566,DRUGBANK:DB14984,CASIMERSEN,Casimersen,2,1,2,True,True,False,False,False,False,casimersen,Casimersen,,,,,True,True
CHEMBL4297573,DRUGBANK:DB14731,TAGRAXOFUSP,Tagraxofusp,5,5,2,True,True,False,False,False,False,tagraxofusp,Tagraxofusp,,,,,True,True
CHEMBL4297575,DRUGBANK:DB16258,NIRSEVIMAB,Nirsevimab,2,1,2,True,True,False,False,False,False,nirsevimab,Nirsevimab,,,,,True,True
CHEMBL4297579,DRUGBANK:DB15561,VALOCTOCOGENE ROXAPARVOVEC,Valoctocogene roxaparvovec,1,4,2,True,True,False,False,False,False,valoctocogene roxaparvovec,Valoctocogene roxaparvovec,,,,,True,True
CHEMBL4297684,DRUGBANK:DB12258,ABICIPAR PEGOL,Abicipar Pegol,5,36,2,True,True,False,False,False,False,abicipar pegol,Abicipar Pegol,,,,,True,True
CHEMBL4297700,DRUGBANK:DB12917,BIMEKIZUMAB,Bimekizumab,7,336,2,True,True,False,False,False,False,bimekizumab,Bimekizumab,,,,,True,True
CHEMBL4297715,DRUGBANK:DB14776,CAMRELIZUMAB,Camrelizumab,64,334,2,True,True,False,False,False,False,camrelizumab,Camrelizumab,,,,,True,True
