id_a,id_b,nombre_a,nombre_b,grado_a,grado_b,n_senales,nombre,sinonimo,referencia,externo,vecindario,jaccard,detalle_nombre,detalle_sinonimo,detalle_referencia,detalle_externo,detalle_vecindario,detalle_jaccard,alguno_es_cascara,de_identidad
HP_0025550,HP_0410057,Elevated circulating ribitol concentration,Increased level of D-threitol in plasma,2,2,1,False,False,False,False,True,False,,,,,3d5ea5570e8eb9241ebbea23fea890fe0de45ee6,,False,False
HP_0030295,HP_0030298,Metaphyseal chondromatosis of femur,Metaphyseal chondromatosis of humerus,2,2,1,False,False,False,False,True,False,,,,,13ebbf5312a4aa6b11c71e2b9bbd13f0d7510d24,,False,False
HP_0031258,meddra:10012218,Delirium,Delirium,586,1,1,True,False,False,False,False,False,delirium,,,,,,True,True
HP_0031284,meddra:10016825,Flushing,Flushing,33,4,1,True,False,False,False,False,False,flushing,,,,,,True,True
HP_0031364,meddra:10014080,Ecchymosis,Ecchymosis,66,1,1,True,False,False,False,False,False,ecchymosis,,,,,,True,True
HP_0031405,HP_0031454,Poroma,Apocrine hidrocystoma,3,3,1,False,False,False,False,True,False,,,,,070259732e1a1ae25348f5c91f581e7ec8931346,,False,False
HP_0031858,HP_0031984,Esophageal furrows,Esophageal food impaction,3,3,1,False,False,False,False,True,False,,,,,5c3409dd89b6574839a372864ed7bade4ce48c15,,False,False
HP_0031858,HP_0100628,Esophageal furrows,Esophageal diverticulum,3,3,1,False,False,False,False,True,False,,,,,5c3409dd89b6574839a372864ed7bade4ce48c15,,False,False
HP_0031943,meddra:10001540,Akathisia,Akathisia,4,1,1,True,False,False,False,False,False,akathisia,,,,,,True,True
HP_0031984,HP_0100628,Esophageal food impaction,Esophageal diverticulum,3,3,1,False,False,False,False,True,False,,,,,5c3409dd89b6574839a372864ed7bade4ce48c15,,False,False
HP_0032071,meddra:10014962,Eosinophilic pneumonia,Eosinophilic pneumonia,1,1,1,True,False,False,False,False,False,eosinophilic pneumonia,,,,,,True,True
HP_0032147,HP_0040264,Erythromelalgia,Jaw pain,2,2,1,False,False,False,False,True,False,,,,,761f703526cd8b40c4f1fe378d2bafd4e3546439,,False,False
HP_0032301,HP_0550004,Genital warts,Verruca plana,2,2,1,False,False,False,False,True,False,,,,,bbf0be6b8b5bf547f4b4ceddf70b0eee5c431740,,False,False
HP_0032397,HP_6000283,Citrullinuria,Elevated urinary saccharopine level,2,2,1,False,False,False,False,True,False,,,,,1c67385600e53a867d631f0e210acf0bb69d76c7,,False,False
HP_0032531,HP_0032532,Elevated CSF gamma-aminobutyric acid concentration,Elevated CSF 4-hydroxybutyric acid concentration,2,2,1,False,False,False,False,True,False,,,,,dfda37e69e948f8b43282d9de0c209a97ae28392,,False,False
HP_0032573,HP_0032574,Elevated urinary cytidine,Elevated urinary uridine level,2,2,1,False,False,False,False,True,False,,,,,e7350c58f45fa559bcebf67ad32d1cbacdbe3d39,,False,False
HP_0033058,HP_0033059,Decreased circulating complement C7 concentration,Decreased circulating complement C6 concentration,2,2,1,False,False,False,False,True,False,,,,,4f33c92c12ba7312ba5b6b3e8b70ffabeba43a77,,False,False
HP_0033058,HP_0033060,Decreased circulating complement C7 concentration,Decreased circulating complement C5 concentration,2,2,1,False,False,False,False,True,False,,,,,4f33c92c12ba7312ba5b6b3e8b70ffabeba43a77,,False,False
HP_0033059,HP_0033060,Decreased circulating complement C6 concentration,Decreased circulating complement C5 concentration,2,2,1,False,False,False,False,True,False,,,,,4f33c92c12ba7312ba5b6b3e8b70ffabeba43a77,,False,False
HP_0033157,HP_0034456,Elevated circulating 3-methylhistidine concentration,Elevated circulating glutathione concentration,3,3,1,False,False,False,False,True,False,,,,,3c97b1212641b99910fdd025c19b0657e0f3661a,,False,False
HP_0033177,HP_0033325,Elevated circulating suberic acid concentration,Elevated circulating sebacic acid concentration,3,3,1,False,False,False,False,True,False,,,,,702baadb64f62b7c2bd2af3ba98d2b5deef815ef,,False,False
HP_0033301,HP_0034741,Elevated circulating 1-methylhistidine concentration,Elevated circulating homoarginine concentration,2,2,1,False,False,False,False,True,False,,,,,91efe3434dfe8b57740606c233a95af014c40967,,False,False
HP_0033339,HP_0033340,Increased circulating inosine concentration,Increased circulating guanosine concentration,2,2,1,False,False,False,False,True,False,,,,,6976b49c49081387bd11de21d577fead7d8ea67d,,False,False
HP_0033345,meddra:10029223,Neuralgia,Neuralgia,3,1,1,True,False,False,False,False,False,neuralgia,,,,,,True,True
HP_0033361,meddra:10028780,Nasal ulcer,Nasal ulcer,1,1,1,True,False,False,False,False,False,nasal ulcer,,,,,,True,True
HP_0033652,HP_0033653,Broncholith,Bronchocele,2,2,1,False,False,False,False,True,False,,,,,22fa4d47064f01ab049912c4f0ef3bed8c36140b,,False,False
HP_0033677,meddra:10001052,Acute respiratory distress syndrome,Acute respiratory distress syndrome,3,1,1,True,False,False,False,False,False,acute respiratory distress,,,,,,True,True
HP_0033712,HP_4000008,Repeated implantation failure,Formation of multiple pronuclei during fertilization,2,2,1,False,False,False,False,True,False,,,,,54bbcf8d6d1fe54ee2e62fb8828e82e840dc5b2b,,False,False
HP_0033834,meddra:10025482,Malaise,Malaise,4,4,1,True,False,False,False,False,False,malaise,,,,,,True,True
HP_0034055,HP_0034071,Anti-side-chain cleavage enzyme antibody positivity,Anti-21-hydroxylase antibody positivity,3,3,1,False,False,False,False,True,False,,,,,52f789806912711c3f77b5a152525c76fe4c0eb2,,False,False
HP_0034055,HP_4000030,Anti-side-chain cleavage enzyme antibody positivity,Anti-reticulin antibody positivity,3,3,1,False,False,False,False,True,False,,,,,52f789806912711c3f77b5a152525c76fe4c0eb2,,False,False
HP_0034055,HP_5000011,Anti-side-chain cleavage enzyme antibody positivity,Anti-GAD65 antibody,3,3,1,False,False,False,False,True,False,,,,,52f789806912711c3f77b5a152525c76fe4c0eb2,,False,False
HP_0034055,HP_6000343,Anti-side-chain cleavage enzyme antibody positivity,Antiparietal cell antibody positivity,3,3,1,False,False,False,False,True,False,,,,,52f789806912711c3f77b5a152525c76fe4c0eb2,,False,False
HP_0034071,HP_4000030,Anti-21-hydroxylase antibody positivity,Anti-reticulin antibody positivity,3,3,1,False,False,False,False,True,False,,,,,52f789806912711c3f77b5a152525c76fe4c0eb2,,False,False
HP_0034071,HP_5000011,Anti-21-hydroxylase antibody positivity,Anti-GAD65 antibody,3,3,1,False,False,False,False,True,False,,,,,52f789806912711c3f77b5a152525c76fe4c0eb2,,False,False
HP_0034071,HP_6000343,Anti-21-hydroxylase antibody positivity,Antiparietal cell antibody positivity,3,3,1,False,False,False,False,True,False,,,,,52f789806912711c3f77b5a152525c76fe4c0eb2,,False,False
HP_0034593,HP_4000095,Elevated circulating dihydrouracil concentration,Elevated circulating thymine concentration,3,3,1,False,False,False,False,True,False,,,,,b422c8b4f5dd1d7c92c796124c78d83adef233a9,,False,False
HP_0034976,HP_0034978,Absent pituitary stalk,Interrupted pituitary stalk,2,2,1,False,False,False,False,True,False,,,,,a127ba69e20cd9217640f616d975839da0734660,,False,False
HP_0040010,HP_0040011,Small posterior fossa,Flat posterior fossa,2,2,1,False,False,False,False,True,False,,,,,996123749b66671777d72548e22bcfbab7610d52,,False,False
HP_0040099,HP_0040100,Abnormality of the round window,Abnormality of the vestibular window,2,2,1,False,False,False,False,True,False,,,,,ec5256bafe1f633eaf0051f892c57ea4ea89a16a,,False,False
HP_0040206,HP_0040210,Abnormal circulating neopterin concentration,Abnormal circulating biopterin concentration,2,2,1,False,False,False,False,True,False,,,,,2fdb7d888761ee1a11e4b39f4fdd2b3fc3b12f5b,,False,False
HP_0040417,HP_0040420,Decreased urinary biopterin level,Decreased urinary neopterin level,4,4,1,False,False,False,False,True,False,,,,,2345d56cbf30c86f9b9e2e1b148f8020f94877c4,,False,False
HP_0041045,HP_0041046,Increased neutrophil mitochondria,Increased neutrophil ribosomes,2,2,1,False,False,False,False,True,False,,,,,d36d32a7c0b48ed6eab94a0da4f190cb9be2f021,,False,False
HP_0100350,HP_0100354,Contracture of the proximal interphalangeal joint of the 4th toe,Contracture of the distal interphalangeal joint of the 4th toe,2,2,1,False,False,False,False,True,False,,,,,a9f686deed5355dc7ec82502164edaf98b4b3b04,,False,False
HP_0100351,HP_0100355,Contractures of the proximal interphalangeal joint of the 5th toe,Contractures of the distal interphalangeal joint of the 5th toe,2,2,1,False,False,False,False,True,False,,,,,7c770408d3037ffd714a87f7d3bfe1efa8b36e51,,False,False
HP_0100608,meddra:10027514,Metrorrhagia,Metrorrhagia,63,1,1,True,False,False,False,False,False,metrorrhagia,,,,,,True,True
HP_0100639,meddra:10061461,Erectile dysfunction,Erectile dysfunction,4,1,1,True,False,False,False,False,False,erectile dysfunction,,,,,,True,True
HP_0100660,meddra:10013916,Dyskinesia,Dyskinesia,64,2,1,True,False,False,False,False,False,dyskinesia,,,,,,True,True
HP_0100665,meddra:10002424,Angioedema,Angioedema,8,7,1,True,False,False,False,False,False,angioedema,,,,,,True,True
HP_0100754,meddra:10026749,Mania,Mania,3,1,1,True,False,False,False,False,False,mania,,,,,,True,True
HP_0100785,meddra:10022437,Insomnia,Insomnia,16,4,1,True,False,False,False,False,False,insomnia,,,,,,True,True
HP_0100806,meddra:10040047,Sepsis,Sepsis,6925,2,1,True,False,False,False,False,False,sepsis,,,,,,True,True
HP_0200026,meddra:10015958,Ocular pain,Eye pain,21,1,1,False,True,False,False,False,False,,Eye pain,,,,,True,True
