id_a,id_b,nombre_a,nombre_b,grado_a,grado_b,n_senales,nombre,sinonimo,referencia,externo,vecindario,jaccard,detalle_nombre,detalle_sinonimo,detalle_referencia,detalle_externo,detalle_vecindario,detalle_jaccard,alguno_es_cascara,de_identidad,grado_secundario
EFO_1000132,MONDO_0003945,Bone Epithelioid Hemangioma,bone epithelioid hemangioma,1,4,2,True,True,False,False,False,False,bone epithelioid hemangioma,bone epithelioid hemangioma,,,,,False,True,1
EFO_1000142,MONDO_0003869,Brain Stem Glioma,childhood brain stem glioma,473,441,2,False,True,False,False,False,True,,brain stem glioma,,,,0.916,False,True,441
EFO_1000177,MONDO_0009837,Choroid Plexus Papilloma,choroid plexus papilloma,121,38,2,True,True,False,False,False,False,choroid plexus papilloma,choroid plexus papilloma,,,,,False,True,38
EFO_1000224,MONDO_0004411,Duodenal Gastrin-Producing Neuroendocrine Tumor,duodenal gastrin-producing neuroendocrine tumor,5,11,2,True,True,False,False,False,False,duodenal gastrin producing neuroendocrine tumor,duodenal gastrin-producing neuroendocrine tumor,,,,,False,True,5
EFO_1000306,MONDO_0021097,Intraductal Breast Papilloma,intraductal breast papilloma,17,11,2,True,True,False,False,False,False,intraductal breast papilloma,intraductal breast papilloma,,,,,False,True,11
EFO_1000312,MONDO_0004555,Kidney Angiomyolipoma,kidney angiomyolipoma,37,120,2,True,True,False,False,False,False,kidney angiomyolipoma,kidney angiomyolipoma,,,,,False,True,37
EFO_1000315,MONDO_0003825,Kidney Oncocytoma,kidney oncocytoma,1214,210,2,True,True,False,False,False,False,kidney oncocytoma,kidney oncocytoma,,,,,False,True,210
EFO_1000322,MONDO_0006267,Liver Cavernous Hemangioma,liver cavernous hemangioma,8,6,2,True,True,False,False,False,False,liver cavernous hemangioma,liver cavernous hemangioma,,,,,False,True,6
EFO_1000324,MONDO_0004726,Liver Inflammatory Myofibroblastic Tumor,liver inflammatory myofibroblastic tumor,10,4,2,True,True,False,False,False,False,liver inflammatory myofibroblastic tumor,liver inflammatory myofibroblastic tumor,,,,,False,True,4
EFO_1000398,MONDO_0004334,Non-Functional Pancreatic Neuroendocrine Tumor,non-functional pancreatic neuroendocrine tumor,32,2,2,True,True,False,False,False,False,non functional pancreatic neuroendocrine tumor,non-functional pancreatic neuroendocrine tumor,,,,,False,True,2
